Наименование услуги;Год предоставления услуги;Стоимость услуги
Билет на массовое катание для взрослых;2020;100
Льготный билет на массовое катание;2020;50
Прокат коньков;2020;80
Абонемент на 1 месяц без проката коньков;2020;1000
Абонемент на 1 месяц с прокатом коньков;2020;1900
Заточка коньков;2020;120
Разогрев 1 пары ботинок в термопечи;2020;250
Билет на массовое катание для взрослых;2023;150
Льготный билет на массовое катание;2023;75
Прокат коньков;2023;150
Абонемент на 1 месяц без проката коньков;2023;1800
Абонемент на 1 месяц с прокатом коньков;2023;3000
Заточка коньков;2023;200
Разогрев 1 пары ботинок в термопечи;2023;300
