наименование услуги;годовой доход;год
солярий;1;2020
фитнес;646.1;2020
тренажерный зал;640.2;2020
солярий;2;2021
фитнес;961.2;2021
тренажерный зал;950.2;2021
солярий;1;2022
фитнес;855.4;2022
тренажерный зал;807.6;2022
массовое катание;1102.7;2020
прокат коньков;731.2;2020
заточка коньков;128.5;2020
массовое катание;1643;2021
прокат коньков;1081.6;2021
заточка коньков;185.2;2021
массовое катание;1429.4;2022
прокат коньков;930.1;2022
заточка коньков;161.5;2022
  хоккей (продажа билетов);1263.8;2020
реклама;603.7;2020
  хоккей (продажа билетов);1842.1;2021
реклама;876.9;2021
  хоккей (продажа билетов);1639.5;2022
реклама;789.2;2022
