наименование услуги;годовая прибыль;год
солярий;1000;2020
фитнес;646100;2020
тренажерный зал;640200;2020
солярий;2000;2021
фитнес;961200;2021
тренажерный зал;950200;2021
солярий;1000;2022
фитнес;855400;2022
тренажерный зал;807600;2022
массовое катание;1102700;2020
прокат коньков;731200;2020
заточка коньков;128500;2020
массовое катание;1643000;2021
прокат коньков;1081600;2021
заточка коньков;185200;2021
массовое катание;1429400;2022
прокат коньков;930100;2022
заточка коньков;161500;2022
  хоккей (продажа билетов);1263800;2020
реклама;603700;2020
  хоккей (продажа билетов);1842100;2021
реклама;876900;2021
  хоккей (продажа билетов);1639500;2022
реклама;789200;2022
