наименование услуги;год;годовая прибыль
массовое катание;2020;1987100
массовое катание;2021;2101100
массовое катание;2022;1869100
прокат коньков;2020;928900
прокат коньков;2021;1192800
прокат коньков;2022;1269500
заточка коньков;2020;151200
заточка коньков;2021;175200
заточка коньков;2022;183900
тренажерный зал;2020;1763000
тренажерный зал;2021;1388300
тренажерный зал;2022;1103800
фитнес;2020;1816800
фитнес;2021;1531600
фитнес;2022;1059300
солярий;2020;15900
солярий;2021;1300
солярий;2022;300
хоккей (продажа  билетов);2020;3087900
хоккей (продажа  билетов);2021;2847700
хоккей (продажа  билетов);2022;2142100
фигурное катание  (продажа билетов);2020;58700
фигурное катание  (продажа билетов);2021;4600
фигурное катание  (продажа билетов);2022;0
реклама;2020;826400
реклама;2021;808200
реклама;2022;1020000
